0,1,2,3,4,5,6,label
0.441,0.502,0.571,0.486,0.486,0.189,0.345,0
0.405,0.446,0.662,0.369,0.501,0.033,0.215,0
0.349,0.347,0.879,0.221,0.504,0.251,0.151,0
0.307,0.316,0.793,0.239,0.534,0.194,0.141,0
0.524,0.533,0.865,0.427,0.664,0.077,0.323,0
0.358,0.372,0.789,0.274,0.486,0.221,0.215,0
0.387,0.43,0.652,0.374,0.448,0.367,0.345,0
0.332,0.349,0.753,0.293,0.479,0.252,0.237,0
0.57,0.63,0.604,0.65,0.595,0.166,0.669,0
0.552,0.587,0.725,0.555,0.624,0.157,0.499,0
0.441,0.504,0.558,0.459,0.436,0.491,0.391,0
0.325,0.362,0.649,0.303,0.407,0.124,0.237,0
0.312,0.333,0.725,0.304,0.406,0.419,0.108,0
0.301,0.341,0.615,0.327,0.375,0.308,0.174,0
0.297,0.339,0.602,0.328,0.345,0.282,0.151,0
0.378,0.386,0.828,0.255,0.501,0.445,0.129,0
0.321,0.293,1.0,0.124,0.537,0.581,0.129,0
0.482,0.483,0.887,0.354,0.63,0.108,0.259,0
0.388,0.372,0.973,0.172,0.596,0.13,0.064,0
0.201,0.24,0.549,0.184,0.299,0.434,0.194,0
0.337,0.411,0.456,0.427,0.356,0.3,0.323,0
0.332,0.382,0.582,0.35,0.383,0.25,0.345,0
0.5,0.514,0.823,0.405,0.625,0.0,0.282,0
0.141,0.169,0.529,0.113,0.218,0.085,0.218,0
0.417,0.486,0.523,0.501,0.438,0.133,0.237,0
0.529,0.568,0.697,0.526,0.564,0.018,0.388,0
0.229,0.279,0.508,0.279,0.282,0.339,0.151,0
0.203,0.26,0.438,0.279,0.232,0.226,0.172,0
0.332,0.366,0.671,0.361,0.421,0.259,0.256,0
0.27,0.333,0.475,0.347,0.31,0.36,0.285,0
0.243,0.291,0.527,0.312,0.246,0.012,0.264,0
0.463,0.523,0.583,0.483,0.528,0.344,0.349,0
0.331,0.413,0.407,0.461,0.396,0.41,0.384,0
0.316,0.364,0.587,0.386,0.371,0.177,0.243,0
0.421,0.469,0.633,0.458,0.498,0.177,0.414,0
0.522,0.535,0.834,0.456,0.609,0.196,0.455,0
0.53,0.591,0.593,0.522,0.594,0.268,0.496,0
0.613,0.614,0.906,0.525,0.751,0.285,0.475,0
0.398,0.436,0.673,0.426,0.469,0.305,0.389,0
0.348,0.364,0.783,0.28,0.476,0.77,0.237,0
0.279,0.298,0.717,0.253,0.375,0.237,0.324,0
0.275,0.298,0.7,0.255,0.376,0.193,0.323,0
0.243,0.236,0.842,0.135,0.407,0.221,0.13,0
0.464,0.506,0.671,0.551,0.546,0.513,0.497,0
0.427,0.44,0.821,0.383,0.593,0.307,0.325,0
0.303,0.337,0.647,0.269,0.374,0.103,0.218,0
0.45,0.486,0.708,0.452,0.544,0.078,0.302,0
0.415,0.444,0.728,0.378,0.532,0.285,0.323,0
0.397,0.436,0.67,0.364,0.471,0.252,0.291,0
0.403,0.467,0.54,0.439,0.448,0.177,0.41,0
0.363,0.411,0.608,0.386,0.458,0.417,0.308,0
0.49,0.517,0.764,0.436,0.573,0.628,0.304,0
0.368,0.455,0.415,0.459,0.344,0.436,0.432,0
0.353,0.386,0.681,0.341,0.406,0.333,0.347,0
0.371,0.452,0.432,0.474,0.344,0.093,0.477,0
0.419,0.488,0.524,0.452,0.415,0.152,0.453,0
0.365,0.401,0.669,0.275,0.532,0.265,0.258,0
0.409,0.417,0.839,0.273,0.557,0.049,0.28,0
0.452,0.488,0.704,0.43,0.562,0.16,0.346,0
0.144,0.219,0.282,0.146,0.287,0.096,0.0,0
0.078,0.093,0.546,0.061,0.157,0.252,0.043,0
0.06,0.045,0.689,0.002,0.177,0.196,0.091,0
0.167,0.161,0.764,0.1,0.294,0.319,0.042,0
0.248,0.295,0.544,0.279,0.314,0.441,0.28,0
0.207,0.24,0.576,0.204,0.282,0.053,0.129,0
0.216,0.225,0.724,0.135,0.349,0.206,0.043,0
0.354,0.405,0.585,0.412,0.399,0.071,0.311,0
0.323,0.388,0.494,0.4,0.376,0.189,0.302,0
0.357,0.409,0.585,0.377,0.373,0.091,0.385,0
0.202,0.277,0.342,0.289,0.18,0.36,0.27,0
0.665,0.738,0.537,0.727,0.664,0.43,0.759,1
0.59,0.674,0.492,0.619,0.609,0.508,0.669,1
0.63,0.686,0.619,0.608,0.687,0.491,0.626,1
0.805,0.795,0.907,0.707,0.927,0.282,0.768,1
0.588,0.64,0.64,0.63,0.61,0.421,0.651,1
0.584,0.663,0.505,0.579,0.576,0.54,0.628,1
0.636,0.723,0.47,0.656,0.551,0.398,0.691,1
0.956,0.996,0.619,0.946,0.844,0.479,0.951,1
0.788,0.843,0.607,0.87,0.719,0.559,0.907,1
