0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,label
0.111,0.417,,0.0,0.0,0.013,0.0,0.014,0.0,0.038,0.05,0.042,0.021,0.909,0.161,0.455,0.046,0.564,0.36,0
0.269,0.308,,0.333,0.0,0.106,0.008,0.088,0.007,0.149,0.149,0.186,0.111,0.784,0.344,0.288,0.186,0.437,0.232,0
0.02,0.167,,0.0,0.0,0.057,0.002,0.036,0.002,0.137,0.137,0.17,0.101,0.793,0.325,0.309,0.17,0.443,0.229,0
0.7,0.488,,0.0,0.0,0.015,0.0,0.02,0.0,0.041,0.058,0.043,0.024,0.933,0.148,0.452,0.052,0.564,0.39,0
0.941,0.462,,0.0,0.0,0.01,0.0,0.007,0.0,0.039,0.051,0.044,0.021,0.907,0.167,0.448,0.048,0.581,0.351,0
0.474,0.204,,0.0,0.0,0.078,0.002,0.065,0.002,0.186,0.18,0.233,0.143,0.729,0.401,0.25,0.233,0.422,0.213,0
0.352,0.375,,0.333,0.0,0.03,0.0,0.039,0.001,0.14,0.148,0.166,0.104,0.847,0.288,0.313,0.166,0.404,0.256,0
0.344,0.325,,0.0,0.0,0.027,0.0,0.082,0.003,0.156,0.158,0.189,0.118,0.8,0.326,0.3,0.189,0.404,0.238,0
0.336,0.321,,0.333,0.0,0.07,0.002,0.039,0.002,0.147,0.156,0.175,0.11,0.849,0.296,0.298,0.175,0.405,0.257,0
0.498,0.454,,0.333,0.0,0.057,0.001,0.072,0.003,0.165,0.161,0.202,0.129,0.756,0.347,0.311,0.202,0.395,0.215,0
0.051,0.529,,0.0,0.0,0.017,0.0,0.011,0.0,0.035,0.049,0.036,0.019,0.925,0.147,0.461,0.045,0.604,0.39,0
0.379,0.496,,0.0,0.0,0.025,0.001,0.024,0.0,0.041,0.053,0.046,0.023,0.909,0.165,0.45,0.051,0.57,0.349,0
0.874,0.429,,0.0,0.0,0.01,0.0,0.01,0.0,0.038,0.045,0.049,0.02,0.868,0.192,0.448,0.049,0.603,0.29,0
0.755,0.546,,0.333,0.0,0.017,0.0,0.034,0.0,0.033,0.049,0.032,0.016,0.94,0.139,0.459,0.045,0.662,0.41,0
0.395,0.254,,0.0,0.0,0.086,0.005,0.04,0.005,0.185,0.172,0.237,0.141,0.687,0.427,0.252,0.237,0.437,0.201,0
0.549,0.475,,0.0,0.0,0.01,0.0,0.015,0.0,0.043,0.053,0.051,0.025,0.892,0.179,0.444,0.052,0.546,0.323,0
0.087,0.308,,0.0,0.0,0.049,0.001,0.04,0.001,0.125,0.138,0.145,0.092,0.881,0.256,0.33,0.145,0.4,0.278,0
0.253,0.55,,0.0,0.0,0.011,0.0,0.01,0.0,0.035,0.048,0.039,0.019,0.91,0.159,0.457,0.044,0.595,0.359,0
0.063,0.221,,0.0,0.0,0.049,0.001,0.037,0.001,0.132,0.128,0.166,0.098,0.767,0.329,0.328,0.166,0.441,0.216,0
0.269,0.267,,0.333,0.0,0.072,0.001,0.034,0.002,0.159,0.16,0.194,0.118,0.797,0.341,0.279,0.194,0.424,0.235,0
0.383,0.45,,0.667,0.0,0.049,0.001,0.057,0.004,0.151,0.156,0.181,0.113,0.821,0.314,0.298,0.181,0.408,0.246,0
0.107,0.5,,0.0,0.0,0.008,0.0,0.017,0.0,0.036,0.049,0.04,0.02,0.909,0.158,0.461,0.044,0.566,0.364,0
0.372,0.408,,0.0,0.0,0.034,0.0,0.043,0.002,0.12,0.14,0.133,0.088,0.933,0.219,0.338,0.135,0.385,0.321,0
0.423,0.467,,0.0,0.0,0.021,0.0,0.015,0.0,0.047,0.06,0.053,0.028,0.909,0.172,0.438,0.056,0.524,0.346,0
0.111,0.292,,0.333,0.0,0.089,0.004,0.061,0.003,0.143,0.147,0.173,0.107,0.815,0.311,0.309,0.173,0.413,0.248,0
0.372,0.192,,0.0,0.0,0.063,0.003,0.047,0.001,0.183,0.18,0.228,0.139,0.752,0.391,0.245,0.228,0.426,0.219,0
0.146,0.562,,0.0,0.0,0.017,0.0,0.015,0.0,0.036,0.041,0.045,0.02,0.862,0.185,0.465,0.046,0.571,0.3,0
0.375,0.338,,0.333,0.0,0.114,0.003,0.04,0.0,0.16,0.159,0.197,0.12,0.778,0.351,0.283,0.197,0.422,0.229,0
