0,1,2,3,4,label
0.0,0.917,0.08,0.0,0.254,2
1.0,0.583,0.08,0.0,0.222,2
0.0,0.917,0.08,1.0,0.73,2
0.0,0.167,0.04,1.0,0.476,2
1.0,0.25,0.4,1.0,0.825,2
1.0,0.917,0.08,0.0,0.27,2
1.0,0.333,0.16,1.0,0.254,2
1.0,0.375,0.08,1.0,0.381,2
0.0,0.875,0.08,0.0,0.873,2
1.0,0.583,0.08,0.0,0.27,2
1.0,0.375,0.84,1.0,0.095,2
1.0,0.5,0.0,1.0,0.429,2
1.0,0.708,0.8,1.0,0.413,2
1.0,0.208,0.64,1.0,0.571,2
1.0,0.208,0.64,1.0,0.619,1
1.0,0.208,0.64,1.0,0.635,1
1.0,0.25,0.4,1.0,0.111,1
1.0,0.875,0.08,1.0,0.683,1
1.0,0.5,0.08,0.0,0.111,1
1.0,0.25,0.96,1.0,0.619,1
1.0,1.0,0.24,1.0,0.381,1
1.0,1.0,0.24,1.0,0.317,1
1.0,0.042,0.32,1.0,0.444,1
1.0,0.0,0.56,0.0,0.302,1
1.0,0.583,0.48,1.0,0.54,1
1.0,0.25,0.4,1.0,0.159,1
1.0,0.292,0.08,1.0,0.333,1
1.0,0.542,0.56,1.0,0.556,1
1.0,0.833,0.04,1.0,0.619,0
1.0,0.875,0.08,1.0,0.397,0
1.0,0.417,0.0,1.0,0.762,0
1.0,0.708,0.16,1.0,0.254,0
1.0,0.5,0.0,1.0,0.444,0
0.0,0.5,0.08,0.0,0.159,0
1.0,0.167,0.04,1.0,0.54,0
1.0,0.625,0.28,1.0,0.524,0
1.0,0.125,0.6,1.0,0.286,0
1.0,0.167,0.04,1.0,0.714,0
1.0,0.542,0.56,1.0,0.556,0
0.0,0.917,0.08,0.0,0.254,2
1.0,0.583,0.08,0.0,0.222,2
0.0,0.917,0.08,1.0,0.73,2
0.0,0.167,0.04,1.0,0.476,2
1.0,0.25,0.4,1.0,0.825,2
1.0,0.917,0.08,0.0,0.27,2
1.0,0.333,0.16,1.0,0.254,2
1.0,0.375,0.08,1.0,0.381,2
0.0,0.875,0.08,1.0,0.873,2
1.0,0.583,0.08,0.0,0.27,2
1.0,0.375,0.84,1.0,0.095,2
1.0,0.5,0.0,1.0,0.429,2
1.0,0.708,0.8,1.0,0.413,2
1.0,0.208,0.64,1.0,0.571,2
1.0,0.208,0.64,1.0,0.619,1
1.0,0.208,0.64,1.0,0.635,1
1.0,0.25,0.4,1.0,0.111,1
1.0,0.875,0.08,1.0,0.683,1
1.0,0.5,0.08,0.0,0.111,1
1.0,0.25,0.96,1.0,0.619,1
1.0,1.0,0.24,1.0,0.381,1
1.0,1.0,0.24,1.0,0.317,1
1.0,0.042,0.32,1.0,0.444,1
1.0,0.0,0.56,0.0,0.302,1
1.0,0.583,0.48,1.0,0.54,1
1.0,0.25,0.4,1.0,0.159,1
1.0,0.292,0.08,1.0,0.333,1
1.0,0.542,0.56,1.0,0.556,1
1.0,0.833,0.04,1.0,0.619,0
1.0,0.875,0.08,1.0,0.397,0
1.0,0.417,0.0,1.0,0.762,0
1.0,0.708,0.16,1.0,0.254,0
1.0,0.5,0.0,1.0,0.444,0
0.0,0.5,0.08,0.0,0.159,0
1.0,0.167,0.04,1.0,0.54,0
1.0,0.625,0.28,1.0,0.524,0
1.0,0.125,0.6,1.0,0.286,0
1.0,0.167,0.04,1.0,0.714,0
1.0,0.542,0.56,1.0,0.556,0
0.0,0.917,0.08,0.0,0.349,2
0.0,0.5,0.08,0.0,0.222,2
1.0,0.625,0.72,1.0,0.127,2
1.0,0.333,0.04,1.0,0.571,2
1.0,0.5,0.08,0.0,0.127,2
1.0,0.708,0.8,1.0,0.254,2
0.0,0.875,0.08,1.0,0.667,2
