0,1,2,3,4,label
0.78,0.064,0.035,0.389,0.207,0
0.783,0.055,0.029,0.348,0.189,0
0.741,0.07,0.037,0.433,0.133,0
0.616,0.069,0.037,0.41,0.145,0
0.607,0.067,0.036,0.426,0.151,0
0.682,0.063,0.032,0.397,0.178,0
0.632,0.069,0.037,0.444,0.125,0
0.682,0.058,0.03,0.337,0.261,0
0.713,0.03,0.012,0.067,0.057,0
0.619,0.073,0.037,0.43,0.221,0
0.71,0.065,0.035,0.399,0.102,0
0.657,0.057,0.035,0.351,0.188,0
0.694,0.059,0.032,0.333,0.11,0
0.704,0.045,0.027,0.232,0.175,0
0.728,0.028,0.022,0.106,0.09,0
0.695,0.048,0.031,0.265,0.166,0
0.753,0.066,0.032,0.368,0.259,0
0.573,0.052,0.03,0.316,0.136,0
0.722,0.05,0.029,0.295,0.342,0
0.587,0.055,0.026,0.283,0.29,0
0.697,0.04,0.021,0.148,0.099,0
0.677,0.031,0.012,0.087,0.085,0
0.722,0.05,0.026,0.271,0.236,0
0.838,0.05,0.024,0.242,0.011,0
0.686,0.03,0.012,0.079,0.047,0
0.769,0.034,0.019,0.137,0.038,0
0.723,0.027,0.012,0.06,0.052,0
0.754,0.047,0.024,0.238,0.174,0
0.743,0.043,0.024,0.235,0.13,0
0.709,0.047,0.029,0.287,0.078,0
0.659,0.063,0.033,0.437,0.107,0
0.788,0.033,0.018,0.143,0.064,0
0.58,0.066,0.04,0.424,0.183,0
0.771,0.062,0.037,0.385,0.192,0
0.699,0.052,0.028,0.245,0.148,0
0.696,0.052,0.028,0.291,0.12,0
0.713,0.058,0.03,0.372,0.158,0
0.676,0.055,0.032,0.37,0.219,0
0.669,0.038,0.019,0.201,0.128,0
0.65,0.048,0.028,0.266,0.19,0
0.606,0.044,0.024,0.27,0.214,0
0.598,0.052,0.03,0.25,0.129,0
0.698,0.059,0.031,0.393,0.127,0
0.738,0.035,0.018,0.212,0.104,0
0.754,0.056,0.03,0.426,0.167,0
0.746,0.045,0.025,0.281,0.101,0
0.511,0.06,0.032,0.391,0.056,0
0.58,0.059,0.032,0.419,0.127,0
0.76,0.054,0.032,0.332,0.119,0
1.0,0.05,0.03,0.257,0.006,0
0.622,0.041,0.02,0.245,0.106,0
0.537,0.054,0.03,0.358,0.114,0
0.815,0.052,0.029,0.345,0.175,0
0.685,0.061,0.033,0.456,0.138,0
0.608,0.052,0.028,0.361,0.161,0
0.596,0.059,0.029,0.444,0.126,0
0.761,0.049,0.024,0.319,0.143,0
0.714,0.049,0.024,0.255,0.104,0
0.772,0.055,0.026,0.42,0.259,0
0.58,0.046,0.023,0.301,0.176,0
0.729,0.035,0.015,0.173,0.12,0
0.766,0.05,0.029,0.329,0.14,0
0.735,0.058,0.031,0.416,0.081,0
0.778,0.054,0.028,0.359,0.164,0
0.762,0.054,0.026,0.393,0.087,0
0.768,0.056,0.029,0.443,0.069,0
0.756,0.05,0.024,0.367,0.255,0
0.782,0.04,0.021,0.252,0.173,0
0.713,0.044,0.023,0.3,0.154,0
0.642,0.06,0.034,0.388,0.065,0
0.615,0.055,0.029,0.455,0.156,0
0.666,0.055,0.029,0.311,0.145,0
0.681,0.065,0.038,0.476,0.041,0
0.667,0.048,0.026,0.36,0.142,0
0.745,0.048,0.022,0.241,0.103,0
0.673,0.051,0.026,0.261,0.114,0
0.548,0.065,0.036,0.487,0.109,0
0.618,0.045,0.022,0.252,0.174,0
0.697,0.06,0.034,0.451,0.185,0
0.506,0.052,0.031,0.417,0.168,0
0.65,0.064,0.036,0.435,0.122,0
0.518,0.061,0.033,0.441,0.084,0
0.607,0.048,0.025,0.348,0.149,0
0.872,0.046,0.024,0.253,0.111,0
0.884,0.06,0.031,0.348,0.075,0
0.78,0.054,0.032,0.418,0.237,0
0.725,0.047,0.03,0.306,0.168,0
0.811,0.044,0.025,0.293,0.112,0
0.68,0.056,0.033,0.324,0.129,0
