0,1,2,3,4,5,6,7,label
0.0,0.514,0.521,0.084,0.181,0.15,0.132,0.148,2
0.0,0.372,0.353,0.08,0.079,0.066,0.063,0.068,0
0.5,0.615,0.613,0.119,0.239,0.172,0.186,0.208,1
0.0,0.493,0.521,0.111,0.182,0.144,0.149,0.153,1
1.0,0.345,0.336,0.071,0.072,0.06,0.051,0.053,0
1.0,0.473,0.412,0.084,0.124,0.094,0.101,0.118,0
0.5,0.615,0.605,0.133,0.275,0.159,0.186,0.327,2
0.5,0.635,0.622,0.111,0.271,0.197,0.196,0.258,2
0.0,0.541,0.529,0.111,0.18,0.145,0.147,0.163,1
0.5,0.642,0.647,0.133,0.316,0.211,0.198,0.317,2
0.5,0.608,0.546,0.124,0.214,0.13,0.194,0.208,2
0.0,0.48,0.496,0.097,0.143,0.112,0.106,0.133,1
0.0,0.561,0.546,0.119,0.191,0.146,0.124,0.188,2
0.5,0.622,0.588,0.128,0.242,0.183,0.224,0.203,1
0.5,0.534,0.504,0.088,0.168,0.112,0.105,0.183,1
0.0,0.574,0.58,0.115,0.235,0.173,0.174,0.238,2
1.0,0.378,0.378,0.075,0.102,0.063,0.051,0.113,0
0.5,0.493,0.479,0.088,0.159,0.126,0.114,0.128,1
0.0,0.392,0.403,0.071,0.09,0.065,0.056,0.098,0
0.0,0.507,0.445,0.088,0.134,0.114,0.098,0.113,1
0.0,0.378,0.378,0.084,0.086,0.064,0.081,0.073,2
1.0,0.412,0.37,0.088,0.079,0.053,0.064,0.083,1
0.5,0.662,0.647,0.137,0.332,0.287,0.281,0.268,2
0.5,0.642,0.605,0.119,0.27,0.213,0.276,0.198,1
0.5,0.73,0.714,0.146,0.411,0.344,0.396,0.302,1
0.5,0.655,0.647,0.124,0.328,0.257,0.247,0.297,2
0.5,0.682,0.664,0.164,0.352,0.265,0.357,0.283,2
0.0,0.696,0.655,0.124,0.329,0.239,0.307,0.278,2
0.0,0.716,0.706,0.159,0.331,0.264,0.288,0.292,2
0.0,0.676,0.622,0.124,0.305,0.264,0.298,0.198,2
0.0,0.682,0.697,0.146,0.353,0.264,0.318,0.327,1
0.5,0.818,0.849,0.146,0.58,0.407,0.369,0.457,2
0.0,0.797,0.79,0.146,0.473,0.37,0.47,0.347,2
0.5,0.818,0.832,0.155,0.636,0.547,0.516,0.452,2
0.5,0.851,0.832,0.177,0.605,0.425,0.541,0.487,2
0.0,0.527,0.504,0.093,0.169,0.152,0.163,0.123,0
0.5,0.628,0.706,0.137,0.43,0.356,0.404,0.337,2
0.5,0.507,0.504,0.093,0.184,0.159,0.153,0.143,0
0.5,0.676,0.655,0.119,0.312,0.256,0.267,0.258,2
0.0,0.378,0.395,0.08,0.115,0.089,0.113,0.088,1
0.5,0.507,0.471,0.093,0.15,0.125,0.119,0.113,1
0.5,0.642,0.622,0.119,0.301,0.243,0.257,0.268,2
1.0,0.223,0.202,0.04,0.024,0.021,0.03,0.018,0
1.0,0.176,0.16,0.049,0.014,0.016,0.019,0.01,0
1.0,0.182,0.16,0.044,0.014,0.011,0.016,0.013,0
1.0,0.426,0.403,0.084,0.071,0.058,0.059,0.073,0
0.0,0.534,0.529,0.106,0.205,0.196,0.298,0.138,1
0.5,0.52,0.538,0.106,0.162,0.119,0.144,0.148,0
1.0,0.338,0.319,0.062,0.056,0.05,0.033,0.043,0
0.5,0.608,0.622,0.142,0.295,0.238,0.28,0.243,1
1.0,0.601,0.597,0.106,0.21,0.16,0.145,0.188,0
0.0,0.439,0.445,0.084,0.107,0.089,0.078,0.098,0
0.0,0.554,0.513,0.115,0.191,0.174,0.126,0.158,1
0.5,0.534,0.513,0.106,0.168,0.141,0.138,0.148,1
0.0,0.446,0.429,0.088,0.136,0.116,0.12,0.108,0
0.5,0.574,0.58,0.124,0.234,0.172,0.23,0.218,0
0.0,0.5,0.496,0.106,0.156,0.128,0.125,0.133,0
0.0,0.534,0.555,0.119,0.208,0.185,0.157,0.168,0
1.0,0.23,0.227,0.053,0.03,0.028,0.018,0.023,0
0.5,0.581,0.58,0.111,0.206,0.165,0.171,0.173,0
0.0,0.507,0.487,0.093,0.145,0.12,0.147,0.133,0
0.0,0.581,0.588,0.097,0.221,0.204,0.21,0.173,1
0.5,0.615,0.597,0.115,0.246,0.202,0.254,0.198,1
0.0,0.473,0.454,0.084,0.133,0.114,0.105,0.098,0
0.0,0.601,0.58,0.106,0.205,0.157,0.172,0.183,0
0.0,0.541,0.504,0.106,0.169,0.157,0.133,0.133,0
0.5,0.662,0.647,0.142,0.323,0.237,0.254,0.317,2
0.5,0.703,0.739,0.164,0.454,0.279,0.294,0.482,2
0.5,0.541,0.563,0.106,0.187,0.143,0.151,0.168,1
1.0,0.318,0.303,0.062,0.053,0.042,0.053,0.043,0
0.0,0.649,0.622,0.115,0.271,0.177,0.221,0.273,2
0.5,0.439,0.445,0.097,0.124,0.094,0.129,0.098,0
0.5,0.703,0.706,0.15,0.441,0.322,0.296,0.422,2
0.0,0.669,0.714,0.155,0.419,0.318,0.343,0.377,2
0.5,0.716,0.664,0.173,0.388,0.323,0.381,0.312,2
0.5,0.709,0.706,0.133,0.356,0.297,0.29,0.278,2
0.0,0.703,0.706,0.124,0.334,0.243,0.248,0.312,1
0.5,0.709,0.697,0.133,0.326,0.243,0.255,0.302,1
0.5,0.649,0.622,0.124,0.278,0.189,0.209,0.283,2
0.5,0.73,0.706,0.15,0.39,0.315,0.309,0.342,2
0.5,0.676,0.655,0.124,0.333,0.258,0.331,0.283,1
0.0,0.736,0.765,0.155,0.571,0.343,0.252,0.671,2
0.5,0.601,0.622,0.146,0.349,0.266,0.296,0.317,2
0.0,0.703,0.706,0.142,0.466,0.274,0.307,0.576,2
0.0,0.682,0.664,0.124,0.358,0.255,0.284,0.357,2
0.5,0.669,0.689,0.159,0.458,0.227,0.292,0.437,2
0.0,0.743,0.689,0.124,0.423,0.324,0.269,0.397,2
0.0,0.655,0.647,0.142,0.305,0.222,0.273,0.258,1
0.5,0.52,0.504,0.115,0.182,0.148,0.149,0.163,1
0.5,0.676,0.664,0.142,0.345,0.21,0.303,0.327,2
0.0,0.662,0.622,0.119,0.287,0.229,0.22,0.253,2
0.0,0.649,0.647,0.133,0.267,0.206,0.2,0.258,2
0.0,0.703,0.689,0.155,0.394,0.269,0.334,0.387,2
0.5,0.743,0.739,0.146,0.446,0.34,0.418,0.387,1
0.0,0.838,0.849,0.168,0.528,0.395,0.45,0.482,2
0.0,0.797,0.807,0.173,0.568,0.386,0.51,0.477,2
0.0,0.622,0.639,0.133,0.256,0.18,0.182,0.248,1
0.0,0.534,0.538,0.115,0.185,0.143,0.173,0.143,0
0.0,0.534,0.529,0.115,0.184,0.134,0.174,0.163,0
0.5,0.541,0.538,0.111,0.204,0.186,0.111,0.153,1
1.0,0.385,0.353,0.084,0.081,0.07,0.06,0.073,0
0.0,0.642,0.639,0.128,0.298,0.22,0.251,0.253,2
0.0,0.615,0.639,0.142,0.312,0.212,0.215,0.332,2
0.0,0.615,0.605,0.124,0.256,0.208,0.22,0.203,1
0.0,0.716,0.697,0.142,0.415,0.334,0.316,0.342,2
0.5,0.601,0.597,0.137,0.257,0.195,0.241,0.233,2
0.5,0.635,0.63,0.146,0.283,0.197,0.24,0.278,2
0.5,0.574,0.58,0.111,0.236,0.175,0.172,0.218,1
0.5,0.588,0.563,0.119,0.224,0.155,0.235,0.198,1
0.5,0.486,0.571,0.093,0.128,0.091,0.128,0.128,1
0.0,0.568,0.571,0.111,0.191,0.159,0.176,0.153,1
0.0,0.527,0.513,0.093,0.152,0.115,0.14,0.173,1
1.0,0.486,0.445,0.071,0.117,0.099,0.083,0.103,1
0.0,0.473,0.496,0.093,0.138,0.087,0.082,0.163,1
0.5,0.635,0.597,0.111,0.245,0.199,0.192,0.208,2
0.5,0.615,0.605,0.102,0.209,0.156,0.208,0.178,2
0.5,0.561,0.538,0.119,0.216,0.171,0.134,0.218,2
0.0,0.493,0.479,0.093,0.142,0.087,0.125,0.163,1
0.5,0.655,0.63,0.133,0.312,0.232,0.226,0.307,1
0.0,0.446,0.42,0.075,0.092,0.076,0.078,0.083,0
0.5,0.534,0.521,0.093,0.148,0.109,0.136,0.138,1
1.0,0.419,0.403,0.075,0.089,0.069,0.075,0.083,0
0.5,0.595,0.622,0.124,0.271,0.204,0.226,0.253,2
0.0,0.399,0.353,0.066,0.075,0.06,0.066,0.068,0
1.0,0.385,0.378,0.071,0.061,0.054,0.066,0.068,0
1.0,0.264,0.235,0.053,0.025,0.018,0.03,0.028,0
1.0,0.405,0.37,0.08,0.084,0.072,0.071,0.068,0
1.0,0.419,0.395,0.075,0.088,0.075,0.08,0.078,0
0.0,0.845,0.807,0.142,0.61,0.423,0.346,0.537,2
0.0,0.858,0.815,0.146,0.693,0.515,0.343,0.776,2
0.0,0.703,0.714,0.146,0.446,0.324,0.372,0.407,2
0.5,0.493,0.496,0.111,0.142,0.117,0.082,0.127,1
0.5,0.338,0.345,0.08,0.067,0.056,0.047,0.06,0
1.0,0.372,0.345,0.084,0.074,0.057,0.073,0.066,0
1.0,0.257,0.244,0.058,0.034,0.026,0.026,0.026,0
0.5,0.473,0.462,0.102,0.143,0.109,0.106,0.134,0
0.5,0.311,0.294,0.071,0.055,0.045,0.045,0.046,0
0.0,0.365,0.336,0.08,0.07,0.063,0.038,0.061,1
0.5,0.446,0.454,0.097,0.125,0.101,0.082,0.115,1
0.0,0.405,0.387,0.084,0.089,0.064,0.075,0.091,1
0.5,0.662,0.655,0.137,0.292,0.229,0.27,0.245,1
0.5,0.642,0.664,0.128,0.262,0.198,0.188,0.264,1
0.0,0.777,0.782,0.168,0.475,0.348,0.402,0.443,2
0.0,0.655,0.672,0.137,0.282,0.228,0.25,0.24,2
0.0,0.541,0.538,0.115,0.183,0.139,0.153,0.168,1
0.5,0.561,0.546,0.111,0.194,0.164,0.141,0.172,1
0.0,0.52,0.496,0.106,0.182,0.15,0.142,0.154,1
1.0,0.277,0.252,0.071,0.044,0.034,0.051,0.04,1
1.0,0.135,0.126,0.049,0.01,0.006,0.008,0.011,0
1.0,0.128,0.126,0.084,0.01,0.008,0.01,0.008,0
0.0,0.696,0.706,0.128,0.372,0.296,0.344,0.322,2
0.5,0.716,0.748,0.164,0.395,0.315,0.34,0.332,1
0.5,0.757,0.773,0.168,0.485,0.34,0.401,0.447,1
0.5,0.716,0.723,0.142,0.373,0.248,0.309,0.352,1
0.5,0.662,0.664,0.119,0.349,0.26,0.196,0.307,2
0.0,0.595,0.588,0.115,0.255,0.215,0.172,0.208,1
0.5,0.676,0.681,0.168,0.351,0.263,0.319,0.337,2
0.0,0.77,0.723,0.19,0.536,0.367,0.344,0.631,2
0.5,0.682,0.672,0.15,0.321,0.251,0.28,0.283,2
0.5,0.676,0.681,0.146,0.397,0.2,0.234,0.437,2
0.0,0.716,0.689,0.146,0.373,0.283,0.325,0.337,2
0.5,0.716,0.723,0.142,0.432,0.356,0.338,0.278,2
0.0,0.723,0.723,0.155,0.44,0.365,0.39,0.342,2
0.5,0.878,0.849,0.186,0.758,0.436,0.523,1.0,2
0.5,0.777,0.824,0.204,0.62,0.376,0.381,0.811,2
0.0,0.878,0.866,0.168,0.902,0.719,0.635,0.721,2
0.5,0.878,0.874,0.155,0.752,0.514,0.594,0.846,2
0.5,0.818,0.866,0.181,0.652,0.42,0.537,0.646,2
0.0,0.851,0.849,0.195,0.701,0.549,0.406,0.756,2
0.5,0.818,0.773,0.155,0.573,0.344,0.538,0.616,2
0.0,0.838,0.832,0.19,0.692,0.478,0.712,0.586,2
0.5,0.615,0.571,0.128,0.274,0.206,0.222,0.253,0
0.0,0.608,0.639,0.137,0.376,0.326,0.306,0.283,0
0.5,0.601,0.588,0.102,0.274,0.215,0.242,0.218,0
1.0,0.216,0.176,0.035,0.016,0.012,0.023,0.013,0
1.0,0.385,0.345,0.08,0.063,0.043,0.048,0.073,0
1.0,0.324,0.261,0.053,0.044,0.04,0.049,0.033,0
1.0,0.324,0.319,0.075,0.05,0.035,0.062,0.048,0
1.0,0.203,0.176,0.04,0.016,0.016,0.019,0.013,0
0.0,0.682,0.706,0.133,0.343,0.258,0.284,0.347,2
0.0,0.669,0.714,0.159,0.332,0.268,0.263,0.292,2
0.0,0.764,0.765,0.155,0.484,0.346,0.35,0.567,2
0.5,0.655,0.664,0.142,0.362,0.288,0.352,0.297,1
0.5,0.736,0.706,0.155,0.359,0.292,0.281,0.322,1
0.5,0.77,0.765,0.177,0.554,0.417,0.483,0.457,2
0.0,0.736,0.731,0.168,0.431,0.366,0.39,0.352,2
0.5,0.75,0.714,0.133,0.372,0.263,0.442,0.283,2
0.5,0.75,0.748,0.164,0.489,0.362,0.436,0.377,1
0.5,0.75,0.714,0.142,0.424,0.353,0.44,0.312,2
0.5,0.689,0.681,0.15,0.33,0.245,0.356,0.287,1
0.0,0.73,0.714,0.159,0.41,0.325,0.284,0.322,2
0.0,0.723,0.723,0.15,0.361,0.281,0.316,0.357,2
0.0,0.682,0.664,0.133,0.328,0.185,0.238,0.357,2
1.0,0.378,0.37,0.075,0.077,0.061,0.078,0.148,0
0.5,0.588,0.58,0.124,0.288,0.308,0.258,0.193,1
0.0,0.574,0.588,0.137,0.273,0.232,0.201,0.243,2
0.5,0.581,0.597,0.133,0.227,0.191,0.19,0.208,2
0.0,0.764,0.748,0.164,0.461,0.298,0.346,0.462,2
0.0,0.655,0.664,0.142,0.326,0.29,0.234,0.258,2
0.0,0.689,0.681,0.164,0.326,0.244,0.28,0.283,1
0.5,0.507,0.487,0.106,0.147,0.111,0.124,0.133,1
0.0,0.574,0.58,0.146,0.291,0.17,0.269,0.283,2
0.5,0.574,0.58,0.128,0.222,0.157,0.192,0.228,2
0.5,0.615,0.639,0.15,0.288,0.2,0.203,0.273,2
0.0,0.466,0.471,0.102,0.13,0.114,0.093,0.118,0
0.5,0.493,0.479,0.124,0.17,0.124,0.142,0.158,1
1.0,0.439,0.412,0.097,0.111,0.073,0.088,0.118,1
1.0,0.486,0.479,0.097,0.134,0.1,0.111,0.118,0
0.5,0.608,0.605,0.15,0.294,0.185,0.221,0.307,2
1.0,0.399,0.378,0.084,0.093,0.081,0.068,0.078,0
0.5,0.561,0.521,0.128,0.224,0.133,0.213,0.218,1
0.0,0.351,0.328,0.08,0.063,0.05,0.054,0.058,0
0.5,0.459,0.454,0.093,0.134,0.107,0.103,0.118,2
0.0,0.574,0.588,0.124,0.217,0.161,0.178,0.203,1
0.5,0.554,0.571,0.142,0.233,0.166,0.168,0.233,2
0.0,0.642,0.588,0.124,0.284,0.163,0.215,0.253,1
0.0,0.507,0.496,0.115,0.162,0.116,0.145,0.133,0
1.0,0.446,0.412,0.106,0.114,0.084,0.092,0.108,0
0.0,0.534,0.513,0.119,0.177,0.111,0.151,0.163,1
0.5,0.459,0.42,0.115,0.113,0.087,0.099,0.103,0
0.5,0.5,0.454,0.111,0.16,0.119,0.147,0.138,1
0.5,0.534,0.496,0.128,0.183,0.125,0.162,0.178,2
0.5,0.561,0.538,0.133,0.203,0.147,0.189,0.188,1
0.5,0.5,0.504,0.133,0.171,0.121,0.164,0.153,2
1.0,0.473,0.546,0.093,0.115,0.086,0.103,0.098,1
0.5,0.574,0.529,0.119,0.159,0.115,0.138,0.153,1
0.5,0.426,0.395,0.111,0.107,0.081,0.107,0.088,0
1.0,0.392,0.361,0.075,0.072,0.052,0.063,0.068,0
0.5,0.682,0.689,0.146,0.389,0.271,0.275,0.347,2
0.5,0.615,0.605,0.142,0.277,0.197,0.207,0.243,2
0.0,0.649,0.655,0.119,0.295,0.225,0.213,0.273,2
0.0,0.662,0.647,0.155,0.319,0.208,0.253,0.322,2
0.0,0.743,0.756,0.19,0.511,0.333,0.377,0.432,2
1.0,0.27,0.269,0.066,0.04,0.032,0.038,0.033,0
1.0,0.493,0.496,0.119,0.153,0.121,0.109,0.123,2
1.0,0.297,0.286,0.071,0.043,0.032,0.041,0.038,1
1.0,0.0,0.0,0.009,0.0,0.0,0.0,0.0,0
1.0,0.074,0.076,0.027,0.004,0.002,0.003,0.002,0
1.0,0.047,0.059,0.027,0.002,0.001,0.002,0.001,0
1.0,0.115,0.109,0.031,0.007,0.004,0.005,0.003,0
0.0,0.662,0.622,0.142,0.333,0.234,0.287,0.273,2
1.0,0.264,0.244,0.062,0.035,0.022,0.032,0.033,0
1.0,0.209,0.202,0.058,0.022,0.017,0.013,0.018,0
1.0,0.304,0.294,0.071,0.044,0.029,0.034,0.038,0
1.0,0.345,0.336,0.075,0.058,0.042,0.051,0.058,0
1.0,0.372,0.345,0.075,0.061,0.047,0.045,0.058,1
1.0,0.331,0.319,0.071,0.055,0.042,0.042,0.048,2
1.0,0.385,0.37,0.075,0.069,0.049,0.054,0.068,1
1.0,0.311,0.319,0.066,0.055,0.045,0.049,0.043,0
1.0,0.365,0.361,0.097,0.075,0.054,0.071,0.068,0
1.0,0.345,0.328,0.093,0.06,0.043,0.045,0.058,0
0.0,0.696,0.697,0.159,0.397,0.282,0.369,0.357,2
0.5,0.703,0.672,0.137,0.375,0.345,0.284,0.297,2
0.5,0.676,0.681,0.164,0.387,0.301,0.285,0.342,2
0.0,0.709,0.739,0.146,0.439,0.325,0.365,0.337,2
0.0,0.655,0.664,0.155,0.357,0.257,0.271,0.367,2
0.0,0.655,0.664,0.164,0.378,0.255,0.23,0.407,2
0.0,0.635,0.681,0.142,0.317,0.229,0.217,0.342,1
0.5,0.757,0.756,0.15,0.5,0.406,0.39,0.362,2
0.5,0.696,0.706,0.142,0.389,0.32,0.336,0.292,2
0.5,0.628,0.706,0.137,0.328,0.264,0.255,0.258,2
0.5,0.669,0.647,0.111,0.306,0.246,0.226,0.268,2
0.0,0.615,0.613,0.146,0.316,0.214,0.314,0.243,2
1.0,0.23,0.235,0.053,0.033,0.029,0.032,0.024,0
0.0,0.264,0.244,0.071,0.042,0.031,0.036,0.038,0
0.5,0.52,0.546,0.115,0.226,0.201,0.2,0.158,2
0.0,0.601,0.664,0.133,0.316,0.242,0.244,0.233,2
0.0,0.372,0.37,0.097,0.103,0.082,0.083,0.089,0
0.0,0.534,0.563,0.133,0.224,0.146,0.116,0.253,1
0.5,0.507,0.513,0.111,0.176,0.136,0.131,0.168,2
0.5,0.764,0.79,0.19,0.629,0.304,0.375,0.547,2
0.0,0.696,0.748,0.177,0.42,0.276,0.355,0.367,2
0.0,0.736,0.723,0.181,0.431,0.26,0.329,0.382,2
0.0,0.75,0.756,0.199,0.539,0.376,0.438,0.447,2
0.0,0.75,0.773,0.137,0.445,0.275,0.259,0.407,2
0.0,0.784,0.815,0.19,0.652,0.499,0.43,0.581,2
0.5,0.791,0.798,0.164,0.477,0.331,0.322,0.487,2
0.0,0.723,0.748,0.212,0.581,0.357,0.44,0.686,2
0.0,0.757,0.79,0.181,0.525,0.369,0.409,0.427,2
0.5,0.595,0.622,0.119,0.251,0.179,0.211,0.248,2
0.5,0.622,0.605,0.164,0.297,0.21,0.208,0.297,2
1.0,0.385,0.387,0.093,0.085,0.061,0.074,0.073,0
0.5,0.514,0.504,0.106,0.158,0.118,0.136,0.148,1
0.0,0.554,0.571,0.124,0.222,0.153,0.167,0.223,2
0.0,0.595,0.546,0.155,0.338,0.218,0.207,0.307,2
0.5,0.622,0.605,0.15,0.311,0.198,0.258,0.283,1
0.0,0.615,0.639,0.137,0.247,0.193,0.209,0.203,1
0.5,0.568,0.58,0.137,0.228,0.162,0.174,0.203,2
0.0,0.493,0.504,0.111,0.168,0.088,0.107,0.188,1
0.5,0.622,0.639,0.142,0.286,0.211,0.236,0.238,1
0.0,0.628,0.639,0.159,0.352,0.257,0.297,0.322,2
0.5,0.662,0.756,0.186,0.451,0.336,0.367,0.352,2
0.0,0.723,0.706,0.146,0.395,0.287,0.29,0.312,2
0.5,0.662,0.672,0.155,0.358,0.229,0.272,0.347,2
0.0,0.709,0.739,0.173,0.374,0.258,0.25,0.372,2
1.0,0.297,0.269,0.075,0.045,0.032,0.044,0.038,0
1.0,0.27,0.252,0.066,0.038,0.03,0.037,0.033,0
