0,1,2,3,4,5,6,7,8,9,label
0.074,0.062,0.208,0.43,0.293,0.47,0.621,0.512,0.445,0.163,0
0.083,0.046,0.171,0.588,0.559,0.469,0.624,0.508,0.071,0.413,0
0.478,0.531,0.627,0.028,0.027,0.556,0.468,0.417,0.855,0.517,0
0.059,0.037,0.117,0.684,0.581,0.47,0.571,0.515,0.116,0.234,0
0.215,0.121,0.361,0.345,0.271,0.438,0.632,0.59,0.052,0.719,0
0.144,0.082,0.286,0.26,0.198,0.492,0.658,0.559,0.04,0.479,0
0.133,0.068,0.323,0.273,0.224,0.452,0.649,0.561,0.053,0.441,0
0.068,0.054,0.181,0.467,0.322,0.472,0.618,0.526,0.009,0.477,0
0.279,0.181,0.654,0.074,0.057,0.55,0.731,0.646,0.054,0.5,0
0.129,0.059,0.188,0.369,0.283,0.467,0.659,0.516,0.088,0.204,0
0.177,0.117,0.412,0.266,0.186,0.41,0.683,0.595,0.11,0.651,0
0.044,0.064,0.147,0.585,0.434,0.468,0.57,0.49,0.127,0.327,0
0.125,0.089,0.326,0.237,0.18,0.425,0.546,0.497,0.004,0.358,0
0.088,0.049,0.164,0.519,0.357,0.427,0.543,0.513,0.466,0.081,0
0.17,0.129,0.371,0.517,0.365,0.457,0.523,0.608,0.092,0.751,0
0.076,0.088,0.202,0.335,0.257,0.461,0.622,0.568,0.534,0.431,0
0.097,0.069,0.297,0.311,0.235,0.439,0.549,0.563,0.003,0.385,0
0.127,0.063,0.247,0.372,0.284,0.492,0.64,0.501,0.43,0.15,0
0.127,0.073,0.379,0.261,0.222,0.491,0.642,0.562,0.097,0.363,0
0.123,0.061,0.206,0.338,0.254,0.457,0.647,0.566,0.036,0.446,0
0.265,0.28,0.564,0.074,0.063,0.388,0.709,0.689,0.185,0.575,0
0.248,0.085,0.419,0.254,0.246,0.386,0.683,0.485,0.022,0.61,0
0.261,0.07,0.323,0.226,0.16,0.388,0.73,0.573,0.023,0.548,0
0.049,0.035,0.117,0.708,0.577,0.465,0.605,0.528,0.478,0.131,0
0.251,0.109,0.279,0.344,0.267,0.426,0.699,0.504,0.049,0.69,0
0.312,0.114,0.469,0.135,0.101,0.398,0.739,0.482,0.037,0.592,0
0.07,0.075,0.206,0.407,0.302,0.466,0.623,0.559,0.862,0.208,0
0.068,0.074,0.218,0.472,0.328,0.452,0.615,0.503,0.299,0.126,0
0.058,0.039,0.079,0.631,0.498,0.472,0.558,0.512,0.295,0.372,0
0.092,0.075,0.184,0.402,0.294,0.473,0.553,0.571,0.017,0.219,0
0.14,0.101,0.407,0.206,0.167,0.474,0.65,0.487,0.25,0.284,0
0.252,0.104,0.438,0.304,0.26,0.453,0.702,0.471,0.004,0.75,0
0.093,0.062,0.267,0.356,0.261,0.459,0.603,0.565,0.107,0.31,0
0.074,0.075,0.272,0.372,0.28,0.433,0.541,0.563,0.231,0.4,0
0.215,0.124,0.352,0.203,0.147,0.387,0.658,0.561,0.018,0.57,0
0.243,0.142,0.514,0.143,0.105,0.496,0.733,0.576,0.195,0.521,0
0.125,0.081,0.326,0.242,0.172,0.443,0.648,0.51,0.047,0.332,0
0.101,0.095,0.325,0.267,0.223,0.449,0.642,0.569,0.269,0.264,0
0.103,0.062,0.222,0.356,0.246,0.453,0.628,0.526,0.029,0.356,0
0.21,0.139,0.447,0.268,0.197,0.397,0.657,0.466,0.05,0.751,0
0.179,0.095,0.438,0.251,0.203,0.396,0.548,0.578,0.007,0.587,0
0.038,0.044,0.106,0.648,0.487,0.442,0.591,0.519,0.696,0.341,0
0.071,0.074,0.178,0.412,0.329,0.473,0.617,0.573,0.215,0.449,0
0.027,0.042,0.056,0.874,0.606,0.457,0.586,0.503,0.762,0.216,0
0.174,0.083,0.44,0.225,0.16,0.496,0.674,0.485,0.047,0.472,0
0.044,0.059,0.146,0.579,0.499,0.439,0.61,0.555,0.053,0.11,0
0.103,0.098,0.344,0.266,0.189,0.479,0.622,0.576,0.061,0.378,0
0.026,0.043,0.048,0.83,0.697,0.457,0.571,0.517,0.469,0.338,0
0.179,0.103,0.444,0.251,0.188,0.417,0.678,0.585,0.011,0.61,0
0.063,0.057,0.178,0.476,0.345,0.449,0.616,0.507,0.11,0.349,0
0.096,0.076,0.238,0.36,0.266,0.41,0.537,0.517,0.003,0.353,0
0.121,0.09,0.283,0.208,0.147,0.468,0.52,0.584,0.179,0.423,0
0.185,0.087,0.235,0.31,0.237,0.357,0.527,0.483,0.054,0.549,0
0.12,0.079,0.283,0.297,0.208,0.475,0.649,0.563,0.181,0.551,0
0.089,0.059,0.253,0.397,0.28,0.475,0.616,0.516,0.144,0.339,0
0.269,0.1,0.359,0.26,0.239,0.419,0.673,0.484,0.086,0.614,0
0.047,0.038,0.088,0.642,0.483,0.42,0.565,0.526,0.7,0.237,0
0.281,0.154,0.606,0.122,0.1,0.386,0.698,0.465,0.042,0.687,0
0.277,0.135,0.647,0.099,0.08,0.464,0.738,0.494,0.001,0.525,0
0.056,0.058,0.185,0.576,0.435,0.435,0.546,0.567,0.075,0.22,0
