0,1,label
0.533,0.396,1
0.374,0.569,1
0.461,0.045,0
0.502,0.054,0
0.305,0.755,0
0.493,0.214,1
0.414,0.409,1
0.184,0.689,0
0.164,0.677,0
0.334,0.184,0
0.404,0.465,1
0.336,0.497,1
0.868,0.37,0
0.589,0.433,1
0.342,0.55,1
0.265,0.258,0
0.224,0.239,0
0.55,0.089,0
0.446,0.583,1
0.344,0.479,1
0.528,0.439,1
0.835,0.363,0
0.421,0.106,0
0.389,0.43,1
0.371,0.348,1
0.39,0.408,1
0.506,0.642,1
0.116,0.293,0
0.329,0.472,1
0.376,0.017,0
0.587,0.56,1
0.672,0.749,0
0.602,0.629,1
0.556,0.638,1
0.555,0.317,1
0.107,0.399,0
0.538,0.525,1
0.324,0.546,1
0.388,0.504,1
0.53,0.016,0
0.118,0.391,0
0.557,0.427,1
0.569,0.594,1
0.9,0.544,0
0.707,0.202,0
0.26,0.778,0
0.434,0.293,1
0.226,0.604,0
0.654,0.805,0
0.537,0.397,1
0.342,0.824,0
0.037,0.586,0
0.435,0.578,1
0.086,0.501,0
0.64,0.472,1
0.391,0.379,1
0.459,0.671,1
0.175,0.381,0
0.556,0.404,1
0.63,0.395,1
0.431,0.55,1
0.485,0.966,0
0.243,0.732,0
0.503,0.565,1
0.423,0.388,1
0.47,0.353,1
0.837,0.675,0
0.203,0.423,0
0.378,0.0,0
0.453,0.884,0
0.173,0.391,0
0.502,0.952,0
0.464,0.494,1
0.441,0.536,1
0.36,0.636,1
0.267,0.319,0
0.52,0.835,0
0.611,0.401,1
0.811,0.408,0
0.43,0.334,1
0.344,0.768,0
0.606,0.338,1
0.267,0.18,0
0.457,0.738,1
0.848,0.505,0
0.505,0.601,1
0.633,0.125,0
0.856,0.303,0
0.388,0.322,1
0.452,0.104,0
0.516,1.0,0
0.617,0.149,0
0.652,0.131,0
0.871,0.514,0
0.515,0.33,1
0.851,0.539,0
0.467,0.609,1
0.376,0.777,1
0.377,0.525,1
0.471,0.47,1
0.475,0.562,1
0.523,0.374,1
0.403,0.359,1
0.849,0.715,0
0.342,0.842,0
0.334,0.815,0
0.967,0.59,0
0.581,0.598,1
0.606,0.816,0
0.355,0.633,1
0.643,0.925,0
0.233,0.184,0
0.487,0.934,0
0.884,0.429,0
0.378,0.438,1
0.541,0.526,1
0.566,0.537,1
0.755,0.218,0
0.717,0.738,0
0.607,0.426,1
0.543,0.626,1
0.874,0.273,0
0.509,0.519,1
0.934,0.586,0
0.56,0.46,1
0.843,0.577,0
0.418,0.418,1
0.119,0.518,0
